,tx_hash,asset_diff
1,0x1a5eafe643fb4e41e4666f045341584ea22bb73d585775ec4e4a094be22f89e6,-86.22356099850731
3,0x1ee8d8e23e4a026ce8afbf2dc79c196c6b1d43d5e9f8ebb80b968a367ed5e581,0.0
5,0x4d8761e86be1ac935c925e4ac28513872a38583d4bf60223a0716a45ec617999,0.0
7,0x4f9b4cddc272c3803df798041fff63ae7e439982810f7d1d40f288a4218f45b6,-325.6165812922518
9,0x651368a4ca3b651901af0d237d1d61001f6a12819c36d3125cd48a961d4f8543,0.0
11,0x80756a409316570be65efd0861a99cc6c26adecbc1f2c2e0b65c6500268ce2cc,0.0
13,0xa231f74955550b91c045955dcba05ce6793104ffdc325fd82a016389a8b00352,-536.4468519939201
15,0xa7df031a9365ac92037e9a28b2a89fc683bdd724f65cafc5625e9e92fbab10a0,0.0
17,0xaad7774f70fccad4b551f32964baa56254dc0796f8ea4192040b836ab97b06d4,0.010438636613798735
19,0xaca942abdc6cc4dfc3b5a59bf946115e815391475311a28870b2b7448fc0e1d9,0.0
21,0xb9de9f69f52607d2661ef19d7ddd565d86d56ee8a8efe54c7ef06c620b72485a,0.0
23,0xcb677604ed47003bbb69511bed33c74a3f2a262e3e508337682b3536d6d64995,0.0
25,0xd99a3931116a10e2cb106929bf9abeaf45e1addd6b505e915dab430ee7dfa962,0.0
27,0xe081cfe651591ab6525ad185ca38ad9bfe3f6154e9811cb820e3b46af1e5bc9a,-136.945341585174
29,0xee8fd2c76181afa14ca0da158e0a01bba2d3df8e62c5da122ac1d77912aab66e,0.0
31,0xf575687f780edd7918193dcfe97f5f2d871ea275b9c77d6444e09ab0c0cf8f7b,0.0
